"domain","site","plot","measurementLevel","sensorDepths","CVALA1","CVALA2","CVALA3","CVALR1","CVALR2","U_CVALA1","U_CVALA2","U_CVALA3","CVALO1","CVALS1","CVALS2","remarks","CVALC1"
5,"STEI",1,2,-0.163,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",1,3,-0.263,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",1,4,-0.463,2.99246993714119,0.0516173984799396,-2.80735959648982,0.283792541723884,0.0592168043350162,0.0226300692559268,6.35400439373634e-05,0.0226300692559268,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",1,5,-0.663,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",1,6,-0.963,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",1,7,-1.263,2.55893065072931,0.0584510465311584,-2.42242173414256,0.245567264670098,0.0474111534617588,0.0225500558701228,5.50939147043528e-05,0.0225500558701228,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",1,8,-1.963,2.75440366095595,0.0590344801337664,-2.68178783931436,0.247124898963339,0.0491856586148254,0.0223780057391529,5.20562095996532e-05,0.0223780057391529,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,1,-0.065,0.0507371053335451,0.682195887742375,0.145359984064959,0.367195661721452,0.0642866115302092,0.0230641014138758,4.58582793835139e-05,0.0230641014138758,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,2,-0.165,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,3,-0.265,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,4,-0.465,2.99246993714119,0.0516173984799396,-2.80735959648982,0.283792541723884,0.0592168043350162,0.0226300692559268,6.35400439373634e-05,0.0226300692559268,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,5,-0.665,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,6,-0.965,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,7,-1.265,2.55893065072931,0.0584510465311584,-2.42242173414256,0.245567264670098,0.0474111534617588,0.0225500558701228,5.50939147043528e-05,0.0225500558701228,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",2,8,-1.965,2.75440366095595,0.0590344801337664,-2.68178783931436,0.247124898963339,0.0491856586148254,0.0223780057391529,5.20562095996532e-05,0.0223780057391529,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,1,-0.06,0.0507371053335451,0.682195887742375,0.145359984064959,0.367195661721452,0.0642866115302092,0.0230641014138758,4.58582793835139e-05,0.0230641014138758,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,2,-0.16,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,3,-0.26,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,4,-0.46,2.99246993714119,0.0516173984799396,-2.80735959648982,0.283792541723884,0.0592168043350162,0.0226300692559268,6.35400439373634e-05,0.0226300692559268,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,5,-0.66,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,6,-0.96,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,7,-1.26,2.55893065072931,0.0584510465311584,-2.42242173414256,0.245567264670098,0.0474111534617588,0.0225500558701228,5.50939147043528e-05,0.0225500558701228,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",3,8,-1.96,2.75440366095595,0.0590344801337664,-2.68178783931436,0.247124898963339,0.0491856586148254,0.0223780057391529,5.20562095996532e-05,0.0223780057391529,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,1,-0.07,0.0507371053335451,0.682195887742375,0.145359984064959,0.367195661721452,0.0642866115302092,0.0230641014138758,4.58582793835139e-05,0.0230641014138758,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,2,-0.17,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,3,-0.27,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,4,-0.47,2.99246993714119,0.0516173984799396,-2.80735959648982,0.283792541723884,0.0592168043350162,0.0226300692559268,6.35400439373634e-05,0.0226300692559268,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,5,-0.67,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,6,-0.97,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,7,-1.27,2.55893065072931,0.0584510465311584,-2.42242173414256,0.245567264670098,0.0474111534617588,0.0225500558701228,5.50939147043528e-05,0.0225500558701228,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",4,8,-1.97,2.75440366095595,0.0590344801337664,-2.68178783931436,0.247124898963339,0.0491856586148254,0.0223780057391529,5.20562095996532e-05,0.0223780057391529,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,1,-0.063,0.0507371053335451,0.682195887742375,0.145359984064959,0.367195661721452,0.0642866115302092,0.0230641014138758,4.58582793835139e-05,0.0230641014138758,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,2,-0.163,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,3,-0.263,0.75182677994559,0.197392207671219,-0.797154344112283,0.398281258500013,0.0664109658158538,0.0269256123668179,5.31408176139219e-05,0.0269256123668179,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,4,-0.463,2.99246993714119,0.0516173984799396,-2.80735959648982,0.283792541723884,0.0592168043350162,0.0226300692559268,6.35400439373634e-05,0.0226300692559268,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,5,-0.663,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,6,-0.963,3.32597580724611,0.049906656060088,-3.30298495966321,0.294922401004413,0.0537932181259137,0.0252551457370394,6.79971564335125e-05,0.0252551457370394,"n",20100101125959,NA,NA,20200921.145931
5,"STEI",5,7,-1.263,2.55893065072931,0.0584510465311584,-2.42242173414256,0.245567264670098,0.0474111534617588,0.0225500558701228,5.50939147043528e-05,0.0225500558701228,"n",20100101125959,NA,NA,20200921.145931
